Degree Name,Grad Year,ScriptNotes,Academic Unit,Unit URI,Final URI,Comment
Animal Science,1984,http://opaquenamespace.org/ns/osuAcademicUnits/j0qHTKw7,,,http://opaquenamespace.org/ns/osuAcademicUnits/j0qHTKw7,
Animal Science,1985,NO URIS FOUND FOR THIS DEGREE AND YEAR,Animal Sciences,http://opaquenamespace.org/ns/osuAcademicUnits/EaDtECbp,http://opaquenamespace.org/ns/osuAcademicUnits/EaDtECbp,
Animal Science,1986,NO URIS FOUND FOR THIS DEGREE AND YEAR,Animal Sciences,http://opaquenamespace.org/ns/osuAcademicUnits/EaDtECbp,http://opaquenamespace.org/ns/osuAcademicUnits/EaDtECbp,
Animal Science,1987,NO URIS FOUND FOR THIS DEGREE AND YEAR,Animal Sciences,http://opaquenamespace.org/ns/osuAcademicUnits/EaDtECbp,http://opaquenamespace.org/ns/osuAcademicUnits/EaDtECbp,
Animal Science,1988,NO URIS FOUND FOR THIS DEGREE AND YEAR,Animal Sciences,http://opaquenamespace.org/ns/osuAcademicUnits/EaDtECbp,http://opaquenamespace.org/ns/osuAcademicUnits/EaDtECbp,
Animal Science,1989,NO URIS FOUND FOR THIS DEGREE AND YEAR,Animal Sciences,http://opaquenamespace.org/ns/osuAcademicUnits/EaDtECbp,http://opaquenamespace.org/ns/osuAcademicUnits/EaDtECbp,
Animal Science,1990,NO URIS FOUND FOR THIS DEGREE AND YEAR,Animal Sciences,http://opaquenamespace.org/ns/osuAcademicUnits/EaDtECbp,http://opaquenamespace.org/ns/osuAcademicUnits/EaDtECbp,
Animal Science,1991,NO URIS FOUND FOR THIS DEGREE AND YEAR,Animal Sciences,http://opaquenamespace.org/ns/osuAcademicUnits/EaDtECbp,http://opaquenamespace.org/ns/osuAcademicUnits/EaDtECbp,
Animal Science,1992,NO URIS FOUND FOR THIS DEGREE AND YEAR,Animal Sciences,http://opaquenamespace.org/ns/osuAcademicUnits/EaDtECbp,http://opaquenamespace.org/ns/osuAcademicUnits/EaDtECbp,
Animal Science,1993,NO URIS FOUND FOR THIS DEGREE AND YEAR,Animal Sciences,http://opaquenamespace.org/ns/osuAcademicUnits/EaDtECbp,http://opaquenamespace.org/ns/osuAcademicUnits/EaDtECbp,
Animal Science,1994,NO URIS FOUND FOR THIS DEGREE AND YEAR,Animal Sciences,http://opaquenamespace.org/ns/osuAcademicUnits/EaDtECbp,http://opaquenamespace.org/ns/osuAcademicUnits/EaDtECbp,
Animal Science,1995,NO URIS FOUND FOR THIS DEGREE AND YEAR,Animal Sciences,http://opaquenamespace.org/ns/osuAcademicUnits/EaDtECbp,http://opaquenamespace.org/ns/osuAcademicUnits/EaDtECbp,
Animal Science,1996,NO URIS FOUND FOR THIS DEGREE AND YEAR,Animal Sciences,http://opaquenamespace.org/ns/osuAcademicUnits/EaDtECbp,http://opaquenamespace.org/ns/osuAcademicUnits/EaDtECbp,
Animal Science,1997,NO URIS FOUND FOR THIS DEGREE AND YEAR,Animal Sciences,http://opaquenamespace.org/ns/osuAcademicUnits/EaDtECbp,http://opaquenamespace.org/ns/osuAcademicUnits/EaDtECbp,
